job_title,num_postings,top_skills,top_skills_with_freq,skills_json
Financial Analyst,16,"financial analysis, financial reporting, accounting, budgeting, problem solving, excel, forecasting, journal entries, attention to detail, reporting","financial analysis (2.67%), financial reporting (2.18%), accounting (1.46%), budgeting (1.46%), problem solving (1.46%), excel (1.46%), forecasting (1.21%), journal entries (1.21%), attention to detail (1.21%), reporting (0.97%)","[('financial analysis', 0.02669902912621359), ('financial reporting', 0.021844660194174758), ('accounting', 0.014563106796116505), ('budgeting', 0.014563106796116505), ('problem solving', 0.014563106796116505), ('excel', 0.014563106796116505), ('forecasting', 0.012135922330097087), ('journal entries', 0.012135922330097087), ('attention to detail', 0.012135922330097087), ('reporting', 0.009708737864077669)]"
coordonnateur des comptes clients bilingue,16,"analytical thinking, teamwork, attention to detail, adaptability, customer service, organizational skills, microsoft excel, multitasking, data entry, french","analytical thinking (5.38%), teamwork (5.00%), attention to detail (4.62%), adaptability (4.23%), customer service (3.85%), organizational skills (3.85%), microsoft excel (3.85%), multitasking (3.46%), data entry (3.46%), french (3.46%)","[('analytical thinking', 0.05384615384615385), ('teamwork', 0.05), ('attention to detail', 0.046153846153846156), ('adaptability', 0.04230769230769231), ('customer service', 0.038461538461538464), ('organizational skills', 0.038461538461538464), ('microsoft excel', 0.038461538461538464), ('multitasking', 0.03461538461538462), ('data entry', 0.03461538461538462), ('french', 0.03461538461538462)]"
Brand Ambassador – Food Sampling,16,"customer service, sales, communication, liquor certification, food safety certification, access to a vehicle, ability to stand for long periods, access to a device with photo capabilities and internet, vehicle access, food safety","customer service (8.56%), sales (6.95%), communication (6.95%), liquor certification (5.88%), food safety certification (5.35%), access to a vehicle (3.21%), ability to stand for long periods (2.67%), access to a device with photo capabilities and internet (2.67%), vehicle access (2.14%), food safety (2.14%)","[('customer service', 0.0855614973262032), ('sales', 0.06951871657754011), ('communication', 0.06951871657754011), ('liquor certification', 0.058823529411764705), ('food safety certification', 0.053475935828877004), ('access to a vehicle', 0.03208556149732621), ('ability to stand for long periods', 0.026737967914438502), ('access to a device with photo capabilities and internet', 0.026737967914438502), ('vehicle access', 0.0213903743315508), ('food safety', 0.0213903743315508)]"
Senior Geotechnical Engineer,16,"geotechnical engineering, project management, geology, engineering geology, cpeng, civil engineering, site investigation, rpeq, deswik, earth science","geotechnical engineering (4.19%), project management (1.97%), geology (1.72%), engineering geology (1.23%), cpeng (1.23%), civil engineering (1.23%), site investigation (0.99%), rpeq (0.99%), deswik (0.74%), earth science (0.74%)","[('geotechnical engineering', 0.04187192118226601), ('project management', 0.019704433497536946), ('geology', 0.017241379310344827), ('engineering geology', 0.012315270935960592), ('cpeng', 0.012315270935960592), ('civil engineering', 0.012315270935960592), ('site investigation', 0.009852216748768473), ('rpeq', 0.009852216748768473), ('deswik', 0.007389162561576354), ('earth science', 0.007389162561576354)]"
Financial Advisor,16,"financial planning, client relationship management, portfolio management, business development, csi, canadian securities course (csc), amf licensing, financial advising, compliance, registered retirement consultant (rrc)","financial planning (3.18%), client relationship management (2.47%), portfolio management (2.12%), business development (2.12%), csi (2.12%), canadian securities course (csc) (1.77%), amf licensing (1.77%), financial advising (1.77%), compliance (1.41%), registered retirement consultant (rrc) (1.41%)","[('financial planning', 0.03180212014134275), ('client relationship management', 0.024734982332155476), ('portfolio management', 0.02120141342756184), ('business development', 0.02120141342756184), ('csi', 0.02120141342756184), ('canadian securities course (csc)', 0.0176678445229682), ('amf licensing', 0.0176678445229682), ('financial advising', 0.0176678445229682), ('compliance', 0.014134275618374558), ('registered retirement consultant (rrc)', 0.014134275618374558)]"
Fitness Instructor (CAS),16,"attention to detail, criminal background check, hand movements, teamwork, dependability, trustworthiness, driver's license, vulnerable sector screen, personal protective equipment (ppe), active listening","attention to detail (3.01%), criminal background check (2.58%), hand movements (2.58%), teamwork (2.37%), dependability (2.37%), trustworthiness (2.15%), driver's license (2.15%), vulnerable sector screen (2.15%), personal protective equipment (ppe) (2.15%), active listening (1.94%)","[('attention to detail', 0.030107526881720432), ('criminal background check', 0.025806451612903226), ('hand movements', 0.025806451612903226), ('teamwork', 0.023655913978494623), ('dependability', 0.023655913978494623), ('trustworthiness', 0.021505376344086023), (""driver's license"", 0.021505376344086023), ('vulnerable sector screen', 0.021505376344086023), ('personal protective equipment (ppe)', 0.021505376344086023), ('active listening', 0.01935483870967742)]"
HR Manager,16,"performance management, employee relations, recruitment, communication, hr management, human resources management, benefits, leadership, recruiting, interpersonal skills","performance management (2.22%), employee relations (1.94%), recruitment (1.67%), communication (1.67%), hr management (1.39%), human resources management (1.39%), benefits (1.11%), leadership (1.11%), recruiting (1.11%), interpersonal skills (0.83%)","[('performance management', 0.022222222222222223), ('employee relations', 0.019444444444444445), ('recruitment', 0.016666666666666666), ('communication', 0.016666666666666666), ('hr management', 0.013888888888888888), ('human resources management', 0.013888888888888888), ('benefits', 0.011111111111111112), ('leadership', 0.011111111111111112), ('recruiting', 0.011111111111111112), ('interpersonal skills', 0.008333333333333333)]"
"Conseiller, Services RS&DE",16,"finance, accounting, teamwork, taxation, communication, electronics, product development, technical writing, problemsolving, rs&de","finance (5.38%), accounting (4.75%), teamwork (4.11%), taxation (3.80%), communication (3.80%), electronics (3.48%), product development (3.16%), technical writing (3.16%), problemsolving (3.16%), rs&de (2.85%)","[('finance', 0.05379746835443038), ('accounting', 0.04746835443037975), ('teamwork', 0.04113924050632911), ('taxation', 0.0379746835443038), ('communication', 0.0379746835443038), ('electronics', 0.03481012658227848), ('product development', 0.03164556962025317), ('technical writing', 0.03164556962025317), ('problemsolving', 0.03164556962025317), ('rs&de', 0.028481012658227847)]"
Corporate Receptionist,16,"customer service, communication, microsoft office suite, communication skills, time management, receptionist, teamwork, problemsolving, interpersonal skills, organizational skills","customer service (3.74%), communication (2.72%), microsoft office suite (2.04%), communication skills (2.04%), time management (1.70%), receptionist (1.70%), teamwork (1.70%), problemsolving (1.36%), interpersonal skills (1.36%), organizational skills (1.36%)","[('customer service', 0.03741496598639456), ('communication', 0.027210884353741496), ('microsoft office suite', 0.02040816326530612), ('communication skills', 0.02040816326530612), ('time management', 0.017006802721088437), ('receptionist', 0.017006802721088437), ('teamwork', 0.017006802721088437), ('problemsolving', 0.013605442176870748), ('interpersonal skills', 0.013605442176870748), ('organizational skills', 0.013605442176870748)]"
Construction Supervisor,16,"project management, construction supervision, communication, leadership, attention to detail, quality assurance, construction management, scheduling, subcontractor management, communication skills","project management (4.42%), construction supervision (2.72%), communication (2.38%), leadership (2.04%), attention to detail (1.70%), quality assurance (1.70%), construction management (1.36%), scheduling (1.36%), subcontractor management (1.36%), communication skills (1.36%)","[('project management', 0.04421768707482993), ('construction supervision', 0.027210884353741496), ('communication', 0.023809523809523808), ('leadership', 0.02040816326530612), ('attention to detail', 0.017006802721088437), ('quality assurance', 0.017006802721088437), ('construction management', 0.013605442176870748), ('scheduling', 0.013605442176870748), ('subcontractor management', 0.013605442176870748), ('communication skills', 0.013605442176870748)]"
"Coordonnateur, Diversité, équité et inclusion",16,"project management, change management, communication, public speaking, teamwork, coordination, training and development, excel, powerpoint, facilitation","project management (3.52%), change management (3.08%), communication (2.86%), public speaking (2.42%), teamwork (2.42%), coordination (1.76%), training and development (1.76%), excel (1.54%), powerpoint (1.54%), facilitation (1.54%)","[('project management', 0.03524229074889868), ('change management', 0.030837004405286344), ('communication', 0.028634361233480177), ('public speaking', 0.024229074889867842), ('teamwork', 0.024229074889867842), ('coordination', 0.01762114537444934), ('training and development', 0.01762114537444934), ('excel', 0.015418502202643172), ('powerpoint', 0.015418502202643172), ('facilitation', 0.015418502202643172)]"
Workshop Manager,16,"workshop management, leadership, teamwork, attention to detail, communication, interpersonal skills, customer service, budget management, time management, problemsolving","workshop management (3.41%), leadership (2.39%), teamwork (1.71%), attention to detail (1.71%), communication (1.37%), interpersonal skills (1.37%), customer service (1.37%), budget management (1.02%), time management (1.02%), problemsolving (1.02%)","[('workshop management', 0.034129692832764506), ('leadership', 0.023890784982935155), ('teamwork', 0.017064846416382253), ('attention to detail', 0.017064846416382253), ('communication', 0.013651877133105802), ('interpersonal skills', 0.013651877133105802), ('customer service', 0.013651877133105802), ('budget management', 0.010238907849829351), ('time management', 0.010238907849829351), ('problemsolving', 0.010238907849829351)]"
Senior Planner,16,"primavera p6, project management, teamwork, engineering, communication, attention to detail, project planning, earned value management, scheduling, leadership","primavera p6 (2.26%), project management (1.69%), teamwork (1.41%), engineering (1.41%), communication (1.41%), attention to detail (1.41%), project planning (1.13%), earned value management (1.13%), scheduling (0.85%), leadership (0.85%)","[('primavera p6', 0.022598870056497175), ('project management', 0.01694915254237288), ('teamwork', 0.014124293785310734), ('engineering', 0.014124293785310734), ('communication', 0.014124293785310734), ('attention to detail', 0.014124293785310734), ('project planning', 0.011299435028248588), ('earned value management', 0.011299435028248588), ('scheduling', 0.00847457627118644), ('leadership', 0.00847457627118644)]"
Senior Network Engineer,16,"network engineering, network security, network design, cisco, communication skills, network infrastructure, automation, change management, routing, switching","network engineering (1.75%), network security (1.53%), network design (1.31%), cisco (1.09%), communication skills (1.09%), network infrastructure (1.09%), automation (1.09%), change management (1.09%), routing (0.87%), switching (0.87%)","[('network engineering', 0.017467248908296942), ('network security', 0.015283842794759825), ('network design', 0.013100436681222707), ('cisco', 0.010917030567685589), ('communication skills', 0.010917030567685589), ('network infrastructure', 0.010917030567685589), ('automation', 0.010917030567685589), ('change management', 0.010917030567685589), ('routing', 0.008733624454148471), ('switching', 0.008733624454148471)]"
Business Development Executive,16,"business development, sales, negotiation, communication, relationship building, account management, lead generation, customer service, time management, marketing","business development (4.20%), sales (3.50%), negotiation (2.45%), communication (2.10%), relationship building (1.75%), account management (1.75%), lead generation (1.40%), customer service (1.40%), time management (1.40%), marketing (1.40%)","[('business development', 0.04195804195804196), ('sales', 0.03496503496503497), ('negotiation', 0.024475524475524476), ('communication', 0.02097902097902098), ('relationship building', 0.017482517482517484), ('account management', 0.017482517482517484), ('lead generation', 0.013986013986013986), ('customer service', 0.013986013986013986), ('time management', 0.013986013986013986), ('marketing', 0.013986013986013986)]"
Front of House Supervisor,16,"hospitality, conflict resolution, leadership skills, serving experience, customer service, team development, guest satisfaction, communication, culinary arts, team morale","hospitality (4.58%), conflict resolution (3.82%), leadership skills (3.82%), serving experience (3.82%), customer service (3.44%), team development (3.44%), guest satisfaction (3.44%), communication (3.44%), culinary arts (3.05%), team morale (3.05%)","[('hospitality', 0.04580152671755725), ('conflict resolution', 0.03816793893129771), ('leadership skills', 0.03816793893129771), ('serving experience', 0.03816793893129771), ('customer service', 0.03435114503816794), ('team development', 0.03435114503816794), ('guest satisfaction', 0.03435114503816794), ('communication', 0.03435114503816794), ('culinary arts', 0.030534351145038167), ('team morale', 0.030534351145038167)]"
Finance Business Partner,16,"budgeting, finance, financial analysis, forecasting, financial reporting, accounting, data analysis, problem solving, ca, interpersonal skills","budgeting (3.15%), finance (2.29%), financial analysis (2.29%), forecasting (2.29%), financial reporting (2.29%), accounting (2.29%), data analysis (1.72%), problem solving (1.43%), ca (1.43%), interpersonal skills (1.15%)","[('budgeting', 0.03151862464183381), ('finance', 0.022922636103151862), ('financial analysis', 0.022922636103151862), ('forecasting', 0.022922636103151862), ('financial reporting', 0.022922636103151862), ('accounting', 0.022922636103151862), ('data analysis', 0.017191977077363897), ('problem solving', 0.014326647564469915), ('ca', 0.014326647564469915), ('interpersonal skills', 0.011461318051575931)]"
Air Operations Officer,15,"project management, operational test and evaluation, airworthiness, university degree, air requirements, leadership, air force officer development, planning, graduate training, individual learning plan","project management (3.34%), operational test and evaluation (2.60%), airworthiness (2.60%), university degree (2.41%), air requirements (2.23%), leadership (1.86%), air force officer development (1.48%), planning (1.30%), graduate training (1.30%), individual learning plan (1.30%)","[('project management', 0.03339517625231911), ('operational test and evaluation', 0.025974025974025976), ('airworthiness', 0.025974025974025976), ('university degree', 0.02411873840445269), ('air requirements', 0.022263450834879406), ('leadership', 0.01855287569573284), ('air force officer development', 0.014842300556586271), ('planning', 0.012987012987012988), ('graduate training', 0.012987012987012988), ('individual learning plan', 0.012987012987012988)]"
Crop Production Advisor,15,"communication, soil analysis, postsecondary education in agriculture, customer service, sales, cca or p.ag. accreditation, agronomy, tissue analysis, weed analysis, water analysis","communication (5.00%), soil analysis (4.58%), postsecondary education in agriculture (4.58%), customer service (4.17%), sales (4.17%), cca or p.ag. accreditation (4.17%), agronomy (3.75%), tissue analysis (3.75%), weed analysis (3.75%), water analysis (3.75%)","[('communication', 0.05), ('soil analysis', 0.04583333333333333), ('postsecondary education in agriculture', 0.04583333333333333), ('customer service', 0.041666666666666664), ('sales', 0.041666666666666664), ('cca or p.ag. accreditation', 0.041666666666666664), ('agronomy', 0.0375), ('tissue analysis', 0.0375), ('weed analysis', 0.0375), ('water analysis', 0.0375)]"
Audit Specialist,15,"accounting, collaboration, attention to detail, income tax preparation, problem solving, perseverance, customer service, excel, word, communication","accounting (5.78%), collaboration (4.76%), attention to detail (4.76%), income tax preparation (4.42%), problem solving (4.08%), perseverance (4.08%), customer service (3.74%), excel (3.40%), word (3.40%), communication (3.06%)","[('accounting', 0.05782312925170068), ('collaboration', 0.047619047619047616), ('attention to detail', 0.047619047619047616), ('income tax preparation', 0.04421768707482993), ('problem solving', 0.04081632653061224), ('perseverance', 0.04081632653061224), ('customer service', 0.03741496598639456), ('excel', 0.034013605442176874), ('word', 0.034013605442176874), ('communication', 0.030612244897959183)]"
(Global Oil Gas) Senior Personal Assistant,15,"minute taking, presentation creation, microsoft office, report generation, word, powerpoint, agenda creation, excel, typing, office management","minute taking (4.90%), presentation creation (3.85%), microsoft office (3.15%), report generation (2.80%), word (2.45%), powerpoint (2.45%), agenda creation (2.45%), excel (2.10%), typing (2.10%), office management (2.10%)","[('minute taking', 0.04895104895104895), ('presentation creation', 0.038461538461538464), ('microsoft office', 0.03146853146853147), ('report generation', 0.027972027972027972), ('word', 0.024475524475524476), ('powerpoint', 0.024475524475524476), ('agenda creation', 0.024475524475524476), ('excel', 0.02097902097902098), ('typing', 0.02097902097902098), ('office management', 0.02097902097902098)]"
Counsellor,15,"counselling, social work, mental health, psychotherapy, psychology, interpersonal skills, written communication, assessment, communication skills, case management","counselling (3.12%), social work (1.56%), mental health (1.56%), psychotherapy (1.56%), psychology (1.17%), interpersonal skills (1.17%), written communication (1.17%), assessment (1.17%), communication skills (0.78%), case management (0.78%)","[('counselling', 0.03125), ('social work', 0.015625), ('mental health', 0.015625), ('psychotherapy', 0.015625), ('psychology', 0.01171875), ('interpersonal skills', 0.01171875), ('written communication', 0.01171875), ('assessment', 0.01171875), ('communication skills', 0.0078125), ('case management', 0.0078125)]"
Commercial Litigation Lawyer,15,"commercial litigation, litigation, insolvency, mentoring, communication skills, attention to detail, teamwork, autonomy, advocacy, dispute resolution","commercial litigation (5.36%), litigation (2.68%), insolvency (2.68%), mentoring (2.23%), communication skills (2.23%), attention to detail (2.23%), teamwork (1.79%), autonomy (1.79%), advocacy (1.79%), dispute resolution (1.34%)","[('commercial litigation', 0.05357142857142857), ('litigation', 0.026785714285714284), ('insolvency', 0.026785714285714284), ('mentoring', 0.022321428571428572), ('communication skills', 0.022321428571428572), ('attention to detail', 0.022321428571428572), ('teamwork', 0.017857142857142856), ('autonomy', 0.017857142857142856), ('advocacy', 0.017857142857142856), ('dispute resolution', 0.013392857142857142)]"
Customer Service Representative -ACT,15,"customer service, communication, teamwork, willingness to learn, motivation, problem solving, problemsolving, diversity and inclusion, sales, initiative","customer service (11.28%), communication (10.53%), teamwork (10.53%), willingness to learn (6.77%), motivation (6.02%), problem solving (6.02%), problemsolving (4.51%), diversity and inclusion (4.51%), sales (4.51%), initiative (3.01%)","[('customer service', 0.11278195488721804), ('communication', 0.10526315789473684), ('teamwork', 0.10526315789473684), ('willingness to learn', 0.06766917293233082), ('motivation', 0.06015037593984962), ('problem solving', 0.06015037593984962), ('problemsolving', 0.045112781954887216), ('diversity and inclusion', 0.045112781954887216), ('sales', 0.045112781954887216), ('initiative', 0.03007518796992481)]"
Network Engineer,15,"network engineering, troubleshooting, apm, sdwan, vpn, bgp, ospf, nexus, asm, network engineer","network engineering (1.54%), troubleshooting (1.10%), apm (0.88%), sdwan (0.66%), vpn (0.66%), bgp (0.66%), ospf (0.66%), nexus (0.66%), asm (0.66%), network engineer (0.66%)","[('network engineering', 0.015350877192982455), ('troubleshooting', 0.010964912280701754), ('apm', 0.008771929824561403), ('sdwan', 0.006578947368421052), ('vpn', 0.006578947368421052), ('bgp', 0.006578947368421052), ('ospf', 0.006578947368421052), ('nexus', 0.006578947368421052), ('asm', 0.006578947368421052), ('network engineer', 0.006578947368421052)]"
Casual Event Labourer (PT),15,"steel cap boots, heavy lifting, manual physical work, adaptability, ppe, flexibility, teamwork, english proficiency, basic hand tools, following instructions","steel cap boots (9.55%), heavy lifting (8.92%), manual physical work (8.28%), adaptability (8.28%), ppe (7.64%), flexibility (7.01%), teamwork (6.37%), english proficiency (5.73%), basic hand tools (5.10%), following instructions (5.10%)","[('steel cap boots', 0.09554140127388536), ('heavy lifting', 0.08917197452229299), ('manual physical work', 0.08280254777070063), ('adaptability', 0.08280254777070063), ('ppe', 0.07643312101910828), ('flexibility', 0.07006369426751592), ('teamwork', 0.06369426751592357), ('english proficiency', 0.05732484076433121), ('basic hand tools', 0.050955414012738856), ('following instructions', 0.050955414012738856)]"
Agent ou agente de la gestion du personnel - Dotation interne et planification de la main d'œuvre,15,"collective agreements, leadership, communication, labor laws, innovation, human resources management, analysis, teamwork, microsoft office suite, recruitment","collective agreements (3.47%), leadership (3.47%), communication (3.47%), labor laws (3.47%), innovation (2.84%), human resources management (2.84%), analysis (2.52%), teamwork (2.21%), microsoft office suite (2.21%), recruitment (2.21%)","[('collective agreements', 0.03470031545741325), ('leadership', 0.03470031545741325), ('communication', 0.03470031545741325), ('labor laws', 0.03470031545741325), ('innovation', 0.028391167192429023), ('human resources management', 0.028391167192429023), ('analysis', 0.025236593059936908), ('teamwork', 0.022082018927444796), ('microsoft office suite', 0.022082018927444796), ('recruitment', 0.022082018927444796)]"
Dental Receptionist,15,"customer service, appointment scheduling, communication skills, patient records management, communication, organizational skills, teamwork, dental receptionist, attention to detail, multitasking","customer service (4.55%), appointment scheduling (2.53%), communication skills (2.53%), patient records management (2.02%), communication (2.02%), organizational skills (2.02%), teamwork (2.02%), dental receptionist (1.52%), attention to detail (1.52%), multitasking (1.52%)","[('customer service', 0.045454545454545456), ('appointment scheduling', 0.025252525252525252), ('communication skills', 0.025252525252525252), ('patient records management', 0.020202020202020204), ('communication', 0.020202020202020204), ('organizational skills', 0.020202020202020204), ('teamwork', 0.020202020202020204), ('dental receptionist', 0.015151515151515152), ('attention to detail', 0.015151515151515152), ('multitasking', 0.015151515151515152)]"
"Clinical Manager, Tertiary Site Operations",15,"leads in a caring environment framework, leadership, teamwork, interpersonal skills, conceptual thinking, problem solving, conflict resolution, communication skills, analytical skills, administrative skills","leads in a caring environment framework (6.25%), leadership (5.80%), teamwork (5.36%), interpersonal skills (4.91%), conceptual thinking (4.91%), problem solving (4.46%), conflict resolution (4.46%), communication skills (4.46%), analytical skills (4.02%), administrative skills (3.57%)","[('leads in a caring environment framework', 0.0625), ('leadership', 0.05803571428571429), ('teamwork', 0.05357142857142857), ('interpersonal skills', 0.049107142857142856), ('conceptual thinking', 0.049107142857142856), ('problem solving', 0.044642857142857144), ('conflict resolution', 0.044642857142857144), ('communication skills', 0.044642857142857144), ('analytical skills', 0.04017857142857143), ('administrative skills', 0.03571428571428571)]"
Coordinator,15,"customer service, analytical skills, communication skills, problem solving, child protection, relationship building, microsoft office, team leadership, teamwork, social work","customer service (1.89%), analytical skills (1.58%), communication skills (1.58%), problem solving (1.58%), child protection (1.26%), relationship building (1.26%), microsoft office (1.26%), team leadership (0.95%), teamwork (0.95%), social work (0.95%)","[('customer service', 0.01892744479495268), ('analytical skills', 0.015772870662460567), ('communication skills', 0.015772870662460567), ('problem solving', 0.015772870662460567), ('child protection', 0.012618296529968454), ('relationship building', 0.012618296529968454), ('microsoft office', 0.012618296529968454), ('team leadership', 0.00946372239747634), ('teamwork', 0.00946372239747634), ('social work', 0.00946372239747634)]"
Environmental Project Manager,15,"project management, environmental regulations, remediation, business development, leadership, engineering, environmental science, report writing, mentoring, geology","project management (2.67%), environmental regulations (2.00%), remediation (1.78%), business development (1.56%), leadership (1.56%), engineering (1.56%), environmental science (1.34%), report writing (1.11%), mentoring (1.11%), geology (1.11%)","[('project management', 0.026726057906458798), ('environmental regulations', 0.0200445434298441), ('remediation', 0.017817371937639197), ('business development', 0.015590200445434299), ('leadership', 0.015590200445434299), ('engineering', 0.015590200445434299), ('environmental science', 0.013363028953229399), ('report writing', 0.011135857461024499), ('mentoring', 0.011135857461024499), ('geology', 0.011135857461024499)]"
Health and Safety Advisor,15,"communication, leadership, health and safety, risk management, teamwork, microsoft office suite, hazard identification, incident investigation, emergency response, problem solving","communication (2.52%), leadership (2.52%), health and safety (2.16%), risk management (1.80%), teamwork (1.80%), microsoft office suite (1.80%), hazard identification (1.44%), incident investigation (1.44%), emergency response (1.08%), problem solving (1.08%)","[('communication', 0.025179856115107913), ('leadership', 0.025179856115107913), ('health and safety', 0.02158273381294964), ('risk management', 0.017985611510791366), ('teamwork', 0.017985611510791366), ('microsoft office suite', 0.017985611510791366), ('hazard identification', 0.014388489208633094), ('incident investigation', 0.014388489208633094), ('emergency response', 0.01079136690647482), ('problem solving', 0.01079136690647482)]"
Retail Sales Consultant,15,"customer service, sales, retail experience, communication skills, attention to detail, numeracy skills, ability to work under pressure, targets, fastpaced environment, numeracy","customer service (5.91%), sales (5.06%), retail experience (5.06%), communication skills (4.64%), attention to detail (4.64%), numeracy skills (2.95%), ability to work under pressure (2.11%), targets (2.11%), fastpaced environment (2.11%), numeracy (1.69%)","[('customer service', 0.05907172995780591), ('sales', 0.05063291139240506), ('retail experience', 0.05063291139240506), ('communication skills', 0.046413502109704644), ('attention to detail', 0.046413502109704644), ('numeracy skills', 0.029535864978902954), ('ability to work under pressure', 0.02109704641350211), ('targets', 0.02109704641350211), ('fastpaced environment', 0.02109704641350211), ('numeracy', 0.016877637130801686)]"
Client Manager,15,"adaptability, communication, communication skills, client management, business development, organizational skills, teamwork, collaboration, problemsolving, risk management","adaptability (2.17%), communication (1.86%), communication skills (1.86%), client management (1.24%), business development (1.24%), organizational skills (1.24%), teamwork (1.24%), collaboration (1.24%), problemsolving (1.24%), risk management (0.93%)","[('adaptability', 0.021739130434782608), ('communication', 0.018633540372670808), ('communication skills', 0.018633540372670808), ('client management', 0.012422360248447204), ('business development', 0.012422360248447204), ('organizational skills', 0.012422360248447204), ('teamwork', 0.012422360248447204), ('collaboration', 0.012422360248447204), ('problemsolving', 0.012422360248447204), ('risk management', 0.009316770186335404)]"
Senior Account Executive,15,"teamwork, collaboration, sales, communication, account management, saas, strategic planning, leadership, digital marketing, business development","teamwork (1.84%), collaboration (1.84%), sales (1.84%), communication (1.84%), account management (1.53%), saas (1.53%), strategic planning (1.23%), leadership (1.23%), digital marketing (1.23%), business development (0.92%)","[('teamwork', 0.018404907975460124), ('collaboration', 0.018404907975460124), ('sales', 0.018404907975460124), ('communication', 0.018404907975460124), ('account management', 0.015337423312883436), ('saas', 0.015337423312883436), ('strategic planning', 0.012269938650306749), ('leadership', 0.012269938650306749), ('digital marketing', 0.012269938650306749), ('business development', 0.009202453987730062)]"
Safety Advisor,14,"risk management, communication, project management, safety advisor, attention to detail, injury management, as, communication skills, adaptability, construction industry experience","risk management (2.05%), communication (2.05%), project management (1.37%), safety advisor (1.37%), attention to detail (1.02%), injury management (1.02%), as (1.02%), communication skills (1.02%), adaptability (1.02%), construction industry experience (0.68%)","[('risk management', 0.020477815699658702), ('communication', 0.020477815699658702), ('project management', 0.013651877133105802), ('safety advisor', 0.013651877133105802), ('attention to detail', 0.010238907849829351), ('injury management', 0.010238907849829351), ('as', 0.010238907849829351), ('communication skills', 0.010238907849829351), ('adaptability', 0.010238907849829351), ('construction industry experience', 0.006825938566552901)]"
Adjointe administrative ou adjoint administratif,14,"communication, attention to detail, autonomy, time management, french, human resources, organization, initiative, document management, collaboration","communication (3.00%), attention to detail (2.33%), autonomy (2.00%), time management (2.00%), french (1.67%), human resources (1.67%), organization (1.67%), initiative (1.67%), document management (1.33%), collaboration (1.33%)","[('communication', 0.03), ('attention to detail', 0.023333333333333334), ('autonomy', 0.02), ('time management', 0.02), ('french', 0.016666666666666666), ('human resources', 0.016666666666666666), ('organization', 0.016666666666666666), ('initiative', 0.016666666666666666), ('document management', 0.013333333333333334), ('collaboration', 0.013333333333333334)]"
Administrative Assistant Part Time Work From Home (Dr. Renee Joy Dufault),14,"data entry, data verification, attention to detail, time management, data logging, microsoft excel, microsoft access, microsoft word, verbal communication, written communication","data entry (6.25%), data verification (5.80%), attention to detail (5.36%), time management (4.46%), data logging (4.02%), microsoft excel (4.02%), microsoft access (4.02%), microsoft word (4.02%), verbal communication (2.68%), written communication (2.68%)","[('data entry', 0.0625), ('data verification', 0.05803571428571429), ('attention to detail', 0.05357142857142857), ('time management', 0.044642857142857144), ('data logging', 0.04017857142857143), ('microsoft excel', 0.04017857142857143), ('microsoft access', 0.04017857142857143), ('microsoft word', 0.04017857142857143), ('verbal communication', 0.026785714285714284), ('written communication', 0.026785714285714284)]"
Electrical Designer,14,"electrical design, autocad, revit, microstation, conduit, csa, inventor, bim360, autoplant, cadworx","electrical design (2.64%), autocad (2.64%), revit (2.40%), microstation (1.92%), conduit (1.92%), csa (1.68%), inventor (1.68%), bim360 (1.68%), autoplant (1.44%), cadworx (1.44%)","[('electrical design', 0.026442307692307692), ('autocad', 0.026442307692307692), ('revit', 0.02403846153846154), ('microstation', 0.019230769230769232), ('conduit', 0.019230769230769232), ('csa', 0.016826923076923076), ('inventor', 0.016826923076923076), ('bim360', 0.016826923076923076), ('autoplant', 0.014423076923076924), ('cadworx', 0.014423076923076924)]"
Contracts Manager,14,"contract management, engineering, communication, contract negotiation, risk management, law, construction management, negotiation, business, contract lifecycle management","contract management (3.48%), engineering (2.61%), communication (2.61%), contract negotiation (2.61%), risk management (2.17%), law (1.74%), construction management (1.30%), negotiation (1.30%), business (1.30%), contract lifecycle management (1.30%)","[('contract management', 0.034782608695652174), ('engineering', 0.02608695652173913), ('communication', 0.02608695652173913), ('contract negotiation', 0.02608695652173913), ('risk management', 0.021739130434782608), ('law', 0.017391304347826087), ('construction management', 0.013043478260869565), ('negotiation', 0.013043478260869565), ('business', 0.013043478260869565), ('contract lifecycle management', 0.013043478260869565)]"
CONSEILLER.ÈRE À LA VENTE,14,"customer service, merchandising, sales experience, teamwork, communication, time management, product knowledge, cash handling, attention to detail, tact","customer service (5.53%), merchandising (4.61%), sales experience (4.61%), teamwork (3.69%), communication (3.23%), time management (2.76%), product knowledge (2.76%), cash handling (2.76%), attention to detail (2.76%), tact (2.30%)","[('customer service', 0.055299539170506916), ('merchandising', 0.04608294930875576), ('sales experience', 0.04608294930875576), ('teamwork', 0.03686635944700461), ('communication', 0.03225806451612903), ('time management', 0.027649769585253458), ('product knowledge', 0.027649769585253458), ('cash handling', 0.027649769585253458), ('attention to detail', 0.027649769585253458), ('tact', 0.02304147465437788)]"
